merchant_id,merchant_name,merchant_category,city,state
MER00081,Travel Merchant 81,Travel,Mangaluru,Karnataka
MER00082,Jewelry Merchant 82,Jewelry,Warangal,Telangana
MER00083,Healthcare Merchant 83,Healthcare,Noida,Uttar Pradesh
MER00084,Entertainment Merchant 84,Entertainment,Kolkata,West Bengal
MER00085,Utilities Merchant 85,Utilities,Warangal,Telangana
MER00086,Restaurant Merchant 86,Restaurant,Madurai,Tamil Nadu
MER00087,Education Merchant 87,Education,Kozhikode,Kerala
MER00088,Restaurant Merchant 88,Restaurant,Kanpur,Uttar Pradesh
MER00089,Online Shopping Merchant 89,Online Shopping,Warangal,Telangana
MER00090,Grocery Merchant 90,Grocery,Hyderabad,Telangana
MER00091,Entertainment Merchant 91,Entertainment,Mysuru,Karnataka
MER00092,Entertainment Merchant 92,Entertainment,Lucknow,Uttar Pradesh
MER00093,Jewelry Merchant 93,Jewelry,Vadodara,Gujarat
MER00094,Entertainment Merchant 94,Entertainment,Warangal,Telangana
MER00095,Electronics Merchant 95,Electronics,Ahmedabad,Gujarat
MER00096,Fuel Merchant 96,Fuel,Bengaluru,Karnataka
MER00097,Utilities Merchant 97,Utilities,Hyderabad,Telangana
MER00098,Grocery Merchant 98,Grocery,Udaipur,Rajasthan
MER00099,Restaurant Merchant 99,Restaurant,Jaipur,Rajasthan
MER00100,Entertainment Merchant 100,Entertainment,Kolkata,West Bengal
MER00101,Entertainment Merchant 101,Entertainment,Udaipur,Rajasthan
MER00102,Clothing Merchant 102,Clothing,Noida,Uttar Pradesh
MER00103,Entertainment Merchant 103,Entertainment,Vadodara,Gujarat
MER00104,Entertainment Merchant 104,Entertainment,Madurai,Tamil Nadu
MER00105,Online Shopping Merchant 105,Online Shopping,Kolkata,West Bengal
MER00106,Entertainment Merchant 106,Entertainment,Kozhikode,Kerala
MER00107,Entertainment Merchant 107,Entertainment,Warangal,Telangana
MER00108,Online Shopping Merchant 108,Online Shopping,Nagpur,Maharashtra
MER00109,Healthcare Merchant 109,Healthcare,Thiruvananthapuram,Kerala
MER00110,Electronics Merchant 110,Electronics,Jaipur,Rajasthan
MER00111,Fuel Merchant 111,Fuel,Chennai,Tamil Nadu
MER00112,Online Shopping Merchant 112,Online Shopping,Madurai,Tamil Nadu
MER00113,Fuel Merchant 113,Fuel,Nashik,Maharashtra
MER00114,Fuel Merchant 114,Fuel,New Delhi,Delhi
MER00115,Fuel Merchant 115,Fuel,Mysuru,Karnataka
MER00116,Utilities Merchant 116,Utilities,Vadodara,Gujarat
MER00117,Entertainment Merchant 117,Entertainment,Hubballi,Karnataka
MER00118,Travel Merchant 118,Travel,Mangaluru,Karnataka
MER00119,Clothing Merchant 119,Clothing,Surat,Gujarat
MER00120,Entertainment Merchant 120,Entertainment,Jaipur,Rajasthan
MER00121,Fuel Merchant 121,Fuel,Warangal,Telangana
MER00122,Fuel Merchant 122,Fuel,Kolkata,West Bengal
MER00123,Utilities Merchant 123,Utilities,New Delhi,Delhi
MER00124,Electronics Merchant 124,Electronics,Coimbatore,Tamil Nadu
MER00125,Grocery Merchant 125,Grocery,Noida,Uttar Pradesh
MER00126,Jewelry Merchant 126,Jewelry,Vadodara,Gujarat
MER00127,Education Merchant 127,Education,Bengaluru,Karnataka
MER00128,Entertainment Merchant 128,Entertainment,Ahmedabad,Gujarat
MER00129,Travel Merchant 129,Travel,Chennai,Tamil Nadu
MER00130,Online Shopping Merchant 130,Online Shopping,Surat,Gujarat
MER00131,Healthcare Merchant 131,Healthcare,Kolkata,West Bengal
MER00132,Fuel Merchant 132,Fuel,Surat,Gujarat
MER00133,Entertainment Merchant 133,Entertainment,Kochi,Kerala
MER00134,Healthcare Merchant 134,Healthcare,Bengaluru,Karnataka
MER00135,Education Merchant 135,Education,Hyderabad,Telangana
MER00136,Online Shopping Merchant 136,Online Shopping,Bengaluru,Karnataka
MER00137,Jewelry Merchant 137,Jewelry,Hyderabad,Telangana
MER00138,Electronics Merchant 138,Electronics,Chennai,Tamil Nadu
MER00139,Jewelry Merchant 139,Jewelry,Kolkata,West Bengal
MER00140,Utilities Merchant 140,Utilities,Warangal,Telangana
MER00141,Electronics Merchant 141,Electronics,Thiruvananthapuram,Kerala
MER00142,Utilities Merchant 142,Utilities,Noida,Uttar Pradesh
MER00143,Travel Merchant 143,Travel,Pune,Maharashtra
MER00144,Travel Merchant 144,Travel,Mumbai,Maharashtra
MER00145,Fuel Merchant 145,Fuel,Noida,Uttar Pradesh
MER00146,Online Shopping Merchant 146,Online Shopping,Vadodara,Gujarat
MER00147,Restaurant Merchant 147,Restaurant,Pune,Maharashtra
MER00148,Jewelry Merchant 148,Jewelry,Kozhikode,Kerala
MER00149,Healthcare Merchant 149,Healthcare,Mumbai,Maharashtra
MER00150,Education Merchant 150,Education,Udaipur,Rajasthan
MER00151,Clothing Merchant 151,Clothing,New Delhi,Delhi
MER00152,Fuel Merchant 152,Fuel,New Delhi,Delhi
MER00153,Fuel Merchant 153,Fuel,Kolkata,West Bengal
MER00154,Utilities Merchant 154,Utilities,New Delhi,Delhi
MER00155,Electronics Merchant 155,Electronics,Coimbatore,Tamil Nadu
MER00156,Jewelry Merchant 156,Jewelry,Udaipur,Rajasthan
MER00157,Entertainment Merchant 157,Entertainment,Udaipur,Rajasthan
MER00158,Jewelry Merchant 158,Jewelry,Vadodara,Gujarat
MER00159,Online Shopping Merchant 159,Online Shopping,Thiruvananthapuram,Kerala
MER00160,Entertainment Merchant 160,Entertainment,Nagpur,Maharashtra
MER00161,Jewelry Merchant 161,Jewelry,Warangal,Telangana
MER00162,Fuel Merchant 162,Fuel,Noida,Uttar Pradesh
MER00163,Entertainment Merchant 163,Entertainment,New Delhi,Delhi
MER00164,Entertainment Merchant 164,Entertainment,New Delhi,Delhi
MER00165,Travel Merchant 165,Travel,Warangal,Telangana
MER00166,Jewelry Merchant 166,Jewelry,New Delhi,Delhi
MER00167,Grocery Merchant 167,Grocery,Kozhikode,Kerala
MER00168,Restaurant Merchant 168,Restaurant,Jaipur,Rajasthan
MER00169,Entertainment Merchant 169,Entertainment,Warangal,Telangana
MER00170,Utilities Merchant 170,Utilities,Jaipur,Rajasthan
MER00171,Entertainment Merchant 171,Entertainment,Kolkata,West Bengal
MER00172,Travel Merchant 172,Travel,Bengaluru,Karnataka
MER00173,Utilities Merchant 173,Utilities,Warangal,Telangana
MER00174,Education Merchant 174,Education,Warangal,Telangana
MER00175,Entertainment Merchant 175,Entertainment,Kanpur,Uttar Pradesh
MER00176,Fuel Merchant 176,Fuel,Udaipur,Rajasthan
MER00177,Healthcare Merchant 177,Healthcare,Udaipur,Rajasthan
MER00178,Travel Merchant 178,Travel,Kolkata,West Bengal
MER00179,Restaurant Merchant 179,Restaurant,Kochi,Kerala
MER00180,Restaurant Merchant 180,Restaurant,Warangal,Telangana
MER00181,Online Shopping Merchant 181,Online Shopping,Jaipur,Rajasthan
MER00182,Travel Merchant 182,Travel,Warangal,Telangana
MER00183,Jewelry Merchant 183,Jewelry,Noida,Uttar Pradesh
MER00184,Online Shopping Merchant 184,Online Shopping,Kochi,Kerala
MER00185,Healthcare Merchant 185,Healthcare,Kochi,Kerala
MER00186,Grocery Merchant 186,Grocery,Coimbatore,Tamil Nadu
MER00187,Travel Merchant 187,Travel,Jaipur,Rajasthan
MER00188,Clothing Merchant 188,Clothing,Bengaluru,Karnataka
MER00189,Electronics Merchant 189,Electronics,Kozhikode,Kerala
MER00190,Grocery Merchant 190,Grocery,Kolkata,West Bengal
MER00191,Entertainment Merchant 191,Entertainment,Kanpur,Uttar Pradesh
MER00192,Healthcare Merchant 192,Healthcare,Kolkata,West Bengal
MER00193,Travel Merchant 193,Travel,Chennai,Tamil Nadu
MER00194,Restaurant Merchant 194,Restaurant,Kolkata,West Bengal
MER00195,Restaurant Merchant 195,Restaurant,Surat,Gujarat
MER00196,Education Merchant 196,Education,Noida,Uttar Pradesh
MER00197,Electronics Merchant 197,Electronics,Mysuru,Karnataka
MER00198,Restaurant Merchant 198,Restaurant,Kanpur,Uttar Pradesh
MER00199,Clothing Merchant 199,Clothing,Hyderabad,Telangana
MER00200,Jewelry Merchant 200,Jewelry,Vadodara,Gujarat
MER00201,Clothing Merchant 201,Clothing,Lucknow,Uttar Pradesh
MER00202,Entertainment Merchant 202,Entertainment,Surat,Gujarat
MER00203,Fuel Merchant 203,Fuel,Kozhikode,Kerala
MER00204,Jewelry Merchant 204,Jewelry,Kozhikode,Kerala
MER00205,Online Shopping Merchant 205,Online Shopping,Bengaluru,Karnataka
MER00206,Education Merchant 206,Education,Warangal,Telangana
MER00207,Online Shopping Merchant 207,Online Shopping,Pune,Maharashtra
MER00208,Restaurant Merchant 208,Restaurant,Madurai,Tamil Nadu
MER00209,Fuel Merchant 209,Fuel,Chennai,Tamil Nadu
MER00210,Travel Merchant 210,Travel,Kolkata,West Bengal
MER00211,Travel Merchant 211,Travel,Mysuru,Karnataka
MER00212,Entertainment Merchant 212,Entertainment,Kozhikode,Kerala
MER00213,Travel Merchant 213,Travel,Pune,Maharashtra
MER00214,Online Shopping Merchant 214,Online Shopping,Noida,Uttar Pradesh
MER00215,Clothing Merchant 215,Clothing,Ahmedabad,Gujarat
MER00216,Travel Merchant 216,Travel,Hyderabad,Telangana
MER00217,Grocery Merchant 217,Grocery,Chennai,Tamil Nadu
MER00218,Jewelry Merchant 218,Jewelry,Coimbatore,Tamil Nadu
MER00219,Entertainment Merchant 219,Entertainment,Kanpur,Uttar Pradesh
MER00220,Utilities Merchant 220,Utilities,Nashik,Maharashtra
MER00221,Fuel Merchant 221,Fuel,Kozhikode,Kerala
MER00222,Clothing Merchant 222,Clothing,Kozhikode,Kerala
MER00223,Restaurant Merchant 223,Restaurant,Kolkata,West Bengal
MER00224,Fuel Merchant 224,Fuel,Lucknow,Uttar Pradesh
MER00225,Grocery Merchant 225,Grocery,New Delhi,Delhi
MER00226,Education Merchant 226,Education,Pune,Maharashtra
MER00227,Grocery Merchant 227,Grocery,Noida,Uttar Pradesh
MER00228,Grocery Merchant 228,Grocery,Kozhikode,Kerala
MER00229,Clothing Merchant 229,Clothing,Coimbatore,Tamil Nadu
MER00230,Electronics Merchant 230,Electronics,Kolkata,West Bengal
MER00231,Education Merchant 231,Education,Kanpur,Uttar Pradesh
MER00232,Entertainment Merchant 232,Entertainment,Kolkata,West Bengal
MER00233,Healthcare Merchant 233,Healthcare,New Delhi,Delhi
MER00234,Electronics Merchant 234,Electronics,New Delhi,Delhi
MER00235,Utilities Merchant 235,Utilities,New Delhi,Delhi
MER00236,Education Merchant 236,Education,Kolkata,West Bengal
MER00237,Grocery Merchant 237,Grocery,Vadodara,Gujarat
MER00238,Healthcare Merchant 238,Healthcare,Kolkata,West Bengal
MER00239,Restaurant Merchant 239,Restaurant,Thiruvananthapuram,Kerala
MER00240,Grocery Merchant 240,Grocery,Vadodara,Gujarat
MER00241,Fuel Merchant 241,Fuel,Udaipur,Rajasthan
MER00242,Clothing Merchant 242,Clothing,Mysuru,Karnataka
MER00243,Education Merchant 243,Education,New Delhi,Delhi
MER00244,Online Shopping Merchant 244,Online Shopping,Kolkata,West Bengal
MER00245,Electronics Merchant 245,Electronics,Kozhikode,Kerala
MER00246,Utilities Merchant 246,Utilities,Thiruvananthapuram,Kerala
MER00247,Grocery Merchant 247,Grocery,Kolkata,West Bengal
MER00248,Utilities Merchant 248,Utilities,Lucknow,Uttar Pradesh
MER00249,Clothing Merchant 249,Clothing,Coimbatore,Tamil Nadu
MER00250,Restaurant Merchant 250,Restaurant,Hubballi,Karnataka
MER00251,Entertainment Merchant 251,Entertainment,Hyderabad,Telangana
MER00252,Entertainment Merchant 252,Entertainment,Pune,Maharashtra
MER00253,Utilities Merchant 253,Utilities,Kozhikode,Kerala
MER00254,Entertainment Merchant 254,Entertainment,Thiruvananthapuram,Kerala
MER00255,Entertainment Merchant 255,Entertainment,Kolkata,West Bengal
MER00256,Fuel Merchant 256,Fuel,Jaipur,Rajasthan
MER00257,Restaurant Merchant 257,Restaurant,Hyderabad,Telangana
MER00258,Healthcare Merchant 258,Healthcare,Thiruvananthapuram,Kerala
MER00259,Grocery Merchant 259,Grocery,Udaipur,Rajasthan
MER00260,Travel Merchant 260,Travel,Kozhikode,Kerala
MER00261,Education Merchant 261,Education,Noida,Uttar Pradesh
MER00262,Entertainment Merchant 262,Entertainment,Kolkata,West Bengal
MER00263,Healthcare Merchant 263,Healthcare,Udaipur,Rajasthan
MER00264,Entertainment Merchant 264,Entertainment,New Delhi,Delhi
MER00265,Utilities Merchant 265,Utilities,New Delhi,Delhi
MER00266,Online Shopping Merchant 266,Online Shopping,Warangal,Telangana
MER00267,Healthcare Merchant 267,Healthcare,Ahmedabad,Gujarat
MER00268,Fuel Merchant 268,Fuel,Kolkata,West Bengal
MER00269,Grocery Merchant 269,Grocery,Coimbatore,Tamil Nadu
MER00270,Jewelry Merchant 270,Jewelry,Madurai,Tamil Nadu
MER00271,Entertainment Merchant 271,Entertainment,New Delhi,Delhi
MER00272,Grocery Merchant 272,Grocery,Nashik,Maharashtra
MER00273,Education Merchant 273,Education,Coimbatore,Tamil Nadu
MER00274,Entertainment Merchant 274,Entertainment,Chennai,Tamil Nadu
MER00275,Jewelry Merchant 275,Jewelry,Thiruvananthapuram,Kerala
MER00276,Restaurant Merchant 276,Restaurant,Vadodara,Gujarat
MER00277,Healthcare Merchant 277,Healthcare,New Delhi,Delhi
MER00278,Jewelry Merchant 278,Jewelry,Kolkata,West Bengal
MER00279,Education Merchant 279,Education,Pune,Maharashtra
MER00280,Utilities Merchant 280,Utilities,Kochi,Kerala
MER00281,Restaurant Merchant 281,Restaurant,Nashik,Maharashtra
MER00282,Electronics Merchant 282,Electronics,Nashik,Maharashtra
MER00283,Grocery Merchant 283,Grocery,Kochi,Kerala
MER00284,Travel Merchant 284,Travel,New Delhi,Delhi
MER00285,Fuel Merchant 285,Fuel,New Delhi,Delhi
MER00286,Clothing Merchant 286,Clothing,Chennai,Tamil Nadu
MER00287,Education Merchant 287,Education,Vadodara,Gujarat
MER00288,Electronics Merchant 288,Electronics,Chennai,Tamil Nadu
MER00289,Jewelry Merchant 289,Jewelry,Nashik,Maharashtra
MER00290,Jewelry Merchant 290,Jewelry,Warangal,Telangana
MER00291,Entertainment Merchant 291,Entertainment,Chennai,Tamil Nadu
MER00292,Travel Merchant 292,Travel,Thiruvananthapuram,Kerala
MER00293,Travel Merchant 293,Travel,Hubballi,Karnataka
MER00294,Restaurant Merchant 294,Restaurant,Jaipur,Rajasthan
MER00295,Jewelry Merchant 295,Jewelry,Kolkata,West Bengal
MER00296,Fuel Merchant 296,Fuel,Kozhikode,Kerala
MER00297,Travel Merchant 297,Travel,Thiruvananthapuram,Kerala
MER00298,Entertainment Merchant 298,Entertainment,Warangal,Telangana
MER00299,Fuel Merchant 299,Fuel,Pune,Maharashtra
MER00300,Jewelry Merchant 300,Jewelry,Kanpur,Uttar Pradesh
MER00301,Travel Merchant 301,Travel,Kozhikode,Kerala
MER00302,Travel Merchant 302,Travel,Hubballi,Karnataka
MER00303,Jewelry Merchant 303,Jewelry,Bengaluru,Karnataka
MER00304,Online Shopping Merchant 304,Online Shopping,Kolkata,West Bengal
MER00305,Online Shopping Merchant 305,Online Shopping,Kanpur,Uttar Pradesh
MER00306,Education Merchant 306,Education,Warangal,Telangana
MER00307,Restaurant Merchant 307,Restaurant,Madurai,Tamil Nadu
MER00308,Entertainment Merchant 308,Entertainment,Mangaluru,Karnataka
MER00309,Utilities Merchant 309,Utilities,Mangaluru,Karnataka
MER00310,Travel Merchant 310,Travel,Chennai,Tamil Nadu
MER00311,Electronics Merchant 311,Electronics,New Delhi,Delhi
MER00312,Clothing Merchant 312,Clothing,Hyderabad,Telangana
MER00313,Electronics Merchant 313,Electronics,New Delhi,Delhi
MER00314,Travel Merchant 314,Travel,Thiruvananthapuram,Kerala
MER00315,Entertainment Merchant 315,Entertainment,New Delhi,Delhi
MER00316,Online Shopping Merchant 316,Online Shopping,Pune,Maharashtra
MER00317,Healthcare Merchant 317,Healthcare,Vadodara,Gujarat
MER00318,Grocery Merchant 318,Grocery,Nashik,Maharashtra
MER00319,Restaurant Merchant 319,Restaurant,Kozhikode,Kerala
MER00320,Education Merchant 320,Education,Kolkata,West Bengal
MER00321,Fuel Merchant 321,Fuel,Kozhikode,Kerala
MER00322,Education Merchant 322,Education,New Delhi,Delhi
MER00323,Grocery Merchant 323,Grocery,Warangal,Telangana
MER00324,Healthcare Merchant 324,Healthcare,Noida,Uttar Pradesh
MER00325,Education Merchant 325,Education,Lucknow,Uttar Pradesh
MER00326,Utilities Merchant 326,Utilities,Nashik,Maharashtra
MER00327,Fuel Merchant 327,Fuel,Kozhikode,Kerala
MER00328,Grocery Merchant 328,Grocery,Pune,Maharashtra
MER00329,Entertainment Merchant 329,Entertainment,Mangaluru,Karnataka
MER00330,Online Shopping Merchant 330,Online Shopping,Mumbai,Maharashtra
MER00331,Fuel Merchant 331,Fuel,Jaipur,Rajasthan
MER00332,Education Merchant 332,Education,Kolkata,West Bengal
MER00333,Jewelry Merchant 333,Jewelry,Udaipur,Rajasthan
MER00334,Education Merchant 334,Education,Coimbatore,Tamil Nadu
MER00335,Jewelry Merchant 335,Jewelry,Nashik,Maharashtra
MER00336,Grocery Merchant 336,Grocery,Surat,Gujarat
MER00337,Entertainment Merchant 337,Entertainment,New Delhi,Delhi
MER00338,Healthcare Merchant 338,Healthcare,Kolkata,West Bengal
MER00339,Clothing Merchant 339,Clothing,Nagpur,Maharashtra
MER00340,Fuel Merchant 340,Fuel,New Delhi,Delhi
MER00341,Restaurant Merchant 341,Restaurant,Kochi,Kerala
MER00342,Education Merchant 342,Education,Kolkata,West Bengal
MER00343,Grocery Merchant 343,Grocery,Hyderabad,Telangana
MER00344,Electronics Merchant 344,Electronics,New Delhi,Delhi
MER00345,Restaurant Merchant 345,Restaurant,Lucknow,Uttar Pradesh
MER00346,Jewelry Merchant 346,Jewelry,Jaipur,Rajasthan
MER00347,Healthcare Merchant 347,Healthcare,Hyderabad,Telangana
MER00348,Grocery Merchant 348,Grocery,Madurai,Tamil Nadu
MER00349,Electronics Merchant 349,Electronics,Kochi,Kerala
MER00350,Electronics Merchant 350,Electronics,Udaipur,Rajasthan
MER00351,Electronics Merchant 351,Electronics,Mumbai,Maharashtra
MER00352,Online Shopping Merchant 352,Online Shopping,Mangaluru,Karnataka
MER00353,Grocery Merchant 353,Grocery,Kanpur,Uttar Pradesh
MER00354,Grocery Merchant 354,Grocery,Coimbatore,Tamil Nadu
MER00355,Fuel Merchant 355,Fuel,Madurai,Tamil Nadu
MER00356,Utilities Merchant 356,Utilities,Jaipur,Rajasthan
MER00357,Entertainment Merchant 357,Entertainment,Nashik,Maharashtra
MER00358,Entertainment Merchant 358,Entertainment,New Delhi,Delhi
MER00359,Jewelry Merchant 359,Jewelry,Jaipur,Rajasthan
MER00360,Entertainment Merchant 360,Entertainment,Mangaluru,Karnataka
MER00361,Entertainment Merchant 361,Entertainment,Bengaluru,Karnataka
MER00362,Education Merchant 362,Education,Surat,Gujarat
MER00363,Utilities Merchant 363,Utilities,Nashik,Maharashtra
MER00364,Restaurant Merchant 364,Restaurant,Kolkata,West Bengal
MER00365,Restaurant Merchant 365,Restaurant,New Delhi,Delhi
MER00366,Jewelry Merchant 366,Jewelry,Coimbatore,Tamil Nadu
MER00367,Utilities Merchant 367,Utilities,Noida,Uttar Pradesh
MER00368,Jewelry Merchant 368,Jewelry,New Delhi,Delhi
MER00369,Entertainment Merchant 369,Entertainment,Udaipur,Rajasthan
MER00370,Restaurant Merchant 370,Restaurant,Udaipur,Rajasthan
MER00371,Fuel Merchant 371,Fuel,Pune,Maharashtra
MER00372,Fuel Merchant 372,Fuel,Kolkata,West Bengal
MER00373,Fuel Merchant 373,Fuel,New Delhi,Delhi
MER00374,Restaurant Merchant 374,Restaurant,Vadodara,Gujarat
MER00375,Healthcare Merchant 375,Healthcare,New Delhi,Delhi
MER00376,Electronics Merchant 376,Electronics,Thiruvananthapuram,Kerala
MER00377,Restaurant Merchant 377,Restaurant,Kolkata,West Bengal
MER00378,Fuel Merchant 378,Fuel,Mumbai,Maharashtra
MER00379,Electronics Merchant 379,Electronics,Nagpur,Maharashtra
MER00380,Jewelry Merchant 380,Jewelry,Jaipur,Rajasthan
MER00381,Education Merchant 381,Education,Udaipur,Rajasthan
MER00382,Healthcare Merchant 382,Healthcare,Nashik,Maharashtra
MER00383,Grocery Merchant 383,Grocery,Vadodara,Gujarat
MER00384,Travel Merchant 384,Travel,Kozhikode,Kerala
MER00385,Jewelry Merchant 385,Jewelry,New Delhi,Delhi
MER00386,Electronics Merchant 386,Electronics,Jaipur,Rajasthan
MER00387,Restaurant Merchant 387,Restaurant,Kolkata,West Bengal
MER00388,Restaurant Merchant 388,Restaurant,New Delhi,Delhi
MER00389,Online Shopping Merchant 389,Online Shopping,Kozhikode,Kerala
MER00390,Jewelry Merchant 390,Jewelry,Vadodara,Gujarat
MER00391,Education Merchant 391,Education,Noida,Uttar Pradesh
MER00392,Jewelry Merchant 392,Jewelry,Jaipur,Rajasthan
MER00393,Electronics Merchant 393,Electronics,Kochi,Kerala
MER00394,Travel Merchant 394,Travel,Kozhikode,Kerala
MER00395,Grocery Merchant 395,Grocery,New Delhi,Delhi
MER00396,Jewelry Merchant 396,Jewelry,Chennai,Tamil Nadu
MER00397,Electronics Merchant 397,Electronics,Ahmedabad,Gujarat
MER00398,Utilities Merchant 398,Utilities,Bengaluru,Karnataka
MER00399,Fuel Merchant 399,Fuel,Jaipur,Rajasthan
MER00400,Healthcare Merchant 400,Healthcare,Surat,Gujarat
MER00401,Travel Merchant 401,Travel,Coimbatore,Tamil Nadu
MER00402,Grocery Merchant 402,Grocery,New Delhi,Delhi
MER00403,Jewelry Merchant 403,Jewelry,Chennai,Tamil Nadu
MER00404,Travel Merchant 404,Travel,Bengaluru,Karnataka
MER00405,Entertainment Merchant 405,Entertainment,Kolkata,West Bengal
MER00406,Fuel Merchant 406,Fuel,Kanpur,Uttar Pradesh
MER00407,Clothing Merchant 407,Clothing,Kochi,Kerala
MER00408,Fuel Merchant 408,Fuel,Nagpur,Maharashtra
MER00409,Education Merchant 409,Education,Nagpur,Maharashtra
MER00410,Clothing Merchant 410,Clothing,Kanpur,Uttar Pradesh
