account_id,customer_id,account_type,account_open_date,branch_id,current_balance,account_status
ACC000035,CUST04523,Savings,2024-06-21,BR0046,40436.54,Active
ACC000036,CUST02209,Salary,2021-03-09,BR0001,125087.26,Active
ACC000037,CUST00539,Current,2019-11-09,BR0012,43552.56,Active
ACC000038,CUST04988,Salary,2025-01-04,BR0003,6250.48,Active
ACC000039,CUST02439,Salary,2022-06-13,BR0039,112992.35,Active
ACC000040,CUST03236,Salary,2020-06-27,BR0034,157745.38,Blocked
ACC000041,CUST01833,Salary,2022-02-19,BR0005,967497.46,Active
ACC000042,CUST04836,Current,2023-02-26,BR0044,5720.48,Active
ACC000043,CUST03397,Current,2026-06-21,BR0039,29479.74,Active
ACC000044,CUST02398,Savings,2019-11-22,BR0027,1810.72,Active
ACC000045,CUST00816,Savings,2025-11-07,BR0014,42777.99,Active
ACC000046,CUST00403,Current,2023-07-14,BR0031,11409.02,Active
ACC000047,CUST02034,Savings,2021-10-21,BR0012,221490.49,Active
ACC000048,CUST03580,Savings,2022-09-13,BR0014,8694.64,Active
ACC000049,CUST04223,Salary,2026-08-11,BR0038,2901.49,Active
ACC000050,CUST04775,Salary,2025-06-17,BR0008,12512.5,Blocked
ACC000051,CUST03655,Savings,2022-07-29,BR0005,2057.85,Active
ACC000052,CUST02164,Savings,2022-08-24,BR0028,54247.89,Active
ACC000053,CUST01144,Savings,2021-10-06,BR0014,1848.08,Active
ACC000054,CUST04224,Current,2022-01-01,BR0035,22791.64,Active
ACC000055,CUST00866,Savings,2023-06-11,BR0027,1820.06,Active
ACC000056,CUST01298,Salary,2026-04-25,BR0043,14997.56,Active
ACC000057,CUST02126,Savings,2020-01-21,BR0035,158269.38,Inactive
ACC000058,CUST00686,Savings,2022-05-30,BR0024,33954.53,Active
ACC000059,CUST04683,Salary,2023-07-19,BR0039,7815.06,Active
ACC000060,CUST04790,Current,2025-08-06,BR0010,21216.95,Active
ACC000061,CUST00685,Current,2025-01-18,BR0002,22507.87,Active
ACC000062,CUST04404,Salary,2021-11-20,BR0041,38838.08,Active
ACC000063,CUST02374,Salary,2026-03-09,BR0033,4271.71,Active
ACC000064,CUST00579,Salary,2026-05-26,BR0026,44850.08,Active
ACC000065,CUST02492,Salary,2021-01-05,BR0009,858.11,Active
ACC000066,CUST00986,Current,2021-06-06,BR0023,10343.76,Active
ACC000067,CUST01910,Salary,2024-05-26,BR0029,12259.68,Inactive
ACC000068,CUST03063,Current,2026-03-16,BR0001,47098.3,Active
ACC000069,CUST00506,Savings,2024-04-21,BR0017,22632.84,Active
ACC000070,CUST03431,Current,2025-03-01,BR0021,4077.85,Active
ACC000071,CUST00768,Savings,2022-05-22,BR0013,6754.8,Active
ACC000072,CUST00698,Current,2025-12-13,BR0039,27956.81,Active
ACC000073,CUST00689,Savings,2023-01-23,BR0033,20032.66,Active
ACC000074,CUST04837,Current,2026-01-21,BR0011,10993.41,Active
ACC000075,CUST03470,Salary,2022-08-12,BR0033,12369.63,Active
ACC000076,CUST03213,Salary,2026-04-17,BR0043,50787.3,Active
ACC000077,CUST03909,Salary,2026-08-02,BR0041,11834.44,Active
ACC000078,CUST00354,Salary,2021-02-10,BR0023,19816.9,Active
ACC000079,CUST00966,Current,2023-11-25,BR0006,297724.52,Active
ACC000080,CUST03470,Savings,2020-05-28,BR0023,3990.14,Active
ACC000081,CUST04050,Salary,2022-06-27,BR0042,2386.99,Active
ACC000082,CUST03994,Current,2022-08-23,BR0044,56404.69,Active
ACC000083,CUST04532,Salary,2024-11-22,BR0015,9755.91,Active
ACC000084,CUST03092,Current,2024-03-24,BR0007,15034.68,Active
ACC000085,CUST03771,Salary,2025-12-10,BR0043,8626.66,Active
ACC000086,CUST03262,Savings,2026-07-01,BR0019,16126.83,Active
ACC000087,CUST04955,Current,2021-08-02,BR0045,149978.28,Active
ACC000088,CUST04996,Current,2022-05-05,BR0025,57673.56,Active
ACC000089,CUST02170,Salary,2022-04-02,BR0028,61986.27,Active
ACC000090,CUST03712,Salary,2020-07-05,BR0020,4026.0,Active
ACC000091,CUST03637,Savings,2025-10-15,BR0010,5533.72,Active
ACC000092,CUST00838,Current,2020-06-01,BR0010,730.04,Active
ACC000093,CUST02913,Salary,2025-02-01,BR0049,8339.37,Active
ACC000094,CUST03332,Current,2023-02-07,BR0035,69427.88,Active
ACC000095,CUST00003,Salary,2022-04-24,BR0037,40959.37,Inactive
ACC000096,CUST01819,Current,2024-12-08,BR0035,16885.05,Active
ACC000097,CUST04111,Savings,2023-11-17,BR0040,21444.85,Active
ACC000098,CUST03571,Savings,2025-02-01,BR0017,9636.73,Active
ACC000099,CUST01240,Salary,2021-03-26,BR0029,28161.49,Active
ACC000100,CUST00559,Current,2026-01-31,BR0002,55218.53,Active
ACC000101,CUST00520,Savings,2022-11-26,BR0020,3168.25,Active
ACC000102,CUST00926,Salary,2021-05-15,BR0049,31557.84,Blocked
ACC000103,CUST02034,Current,2021-11-25,BR0043,67435.16,Active
ACC000104,CUST04913,Salary,2025-08-31,BR0011,13384.86,Blocked
ACC000105,CUST01676,Salary,2023-10-12,BR0027,51064.29,Active
ACC000106,CUST01748,Current,2022-08-19,BR0047,645374.04,Active
ACC000107,CUST00004,Current,2022-07-08,BR0012,19434.18,Blocked
ACC000108,CUST00359,Current,2026-07-03,BR0021,35311.66,Active
ACC000109,CUST00774,Current,2023-05-17,BR0022,9084.56,Active
ACC000110,CUST00180,Savings,2022-09-22,BR0024,27378.17,Active
ACC000111,CUST02281,Current,2026-01-25,BR0032,38266.34,Active
ACC000112,CUST01021,Salary,2021-01-01,BR0007,27828.36,Active
ACC000113,CUST00259,Savings,2021-01-30,BR0045,6479.29,Active
ACC000114,CUST00232,Salary,2022-05-24,BR0027,28215.71,Active
ACC000115,CUST00518,Current,2019-10-14,BR0049,127342.44,Active
ACC000116,CUST00536,Salary,2020-08-06,BR0009,37735.74,Active
ACC000117,CUST04871,Salary,2021-04-06,BR0037,69869.51,Active
ACC000118,CUST00343,Salary,2024-08-06,BR0035,16573.92,Inactive
ACC000119,CUST00024,Current,2022-04-16,BR0030,54169.88,Active
ACC000120,CUST01192,Savings,2023-12-15,BR0018,30795.42,Active
ACC000121,CUST02219,Current,2025-08-09,BR0034,7036.79,Active
ACC000122,CUST00857,Savings,2025-02-10,BR0021,32280.71,Active
ACC000123,CUST03232,Salary,2024-06-01,BR0025,6700.68,Inactive
ACC000124,CUST04473,Current,2022-03-03,BR0040,10306.64,Active
ACC000125,CUST02040,Salary,2026-02-01,BR0038,27644.83,Active
ACC000126,CUST04502,Current,2024-05-30,BR0020,31466.95,Active
ACC000127,CUST03123,Salary,2024-03-24,BR0020,5286.55,Active
ACC000128,CUST00740,Current,2021-02-28,BR0022,78024.87,Active
ACC000129,CUST02569,Salary,2023-01-13,BR0004,43757.03,Active
ACC000130,CUST01105,Salary,2024-11-28,BR0039,9455.25,Active
ACC000131,CUST00480,Salary,2025-07-26,BR0050,3480.39,Active
ACC000132,CUST02960,Savings,2020-04-17,BR0045,18510.89,Active
ACC000133,CUST00365,Current,2021-05-04,BR0008,12898.52,Active
ACC000134,CUST00644,Current,2020-06-11,BR0044,25229.48,Active
ACC000135,CUST01861,Salary,2020-06-02,BR0035,14246.41,Active
ACC000136,CUST04549,Current,2025-09-14,BR0014,1980.4,Active
ACC000137,CUST02037,Current,2024-09-25,BR0046,13821.54,Active
ACC000138,CUST00820,Salary,2025-04-16,BR0038,15264.07,Active
ACC000139,CUST03051,Salary,2023-02-03,BR0004,47117.19,Active
ACC000140,CUST00063,Savings,2021-11-21,BR0002,9529.62,Active
ACC000141,CUST04690,Current,2020-11-20,BR0009,165117.0,Active
ACC000142,CUST04755,Current,2025-09-27,BR0012,2221.71,Active
ACC000143,CUST03083,Current,2022-07-17,BR0044,106234.16,Active
ACC000144,CUST04561,Salary,2024-03-07,BR0028,16828.3,Active
ACC000145,CUST03363,Savings,2022-08-29,BR0021,61790.31,Active
ACC000146,CUST02148,Savings,2023-01-09,BR0001,24240.06,Active
ACC000147,CUST02546,Current,2020-10-12,BR0028,86462.55,Active
ACC000148,CUST04015,Current,2022-12-04,BR0022,13837.89,Active
ACC000149,CUST00240,Salary,2020-07-12,BR0029,5893.8,Active
ACC000150,CUST02528,Current,2025-11-29,BR0015,121128.25,Active
ACC000151,CUST04149,Salary,2026-07-30,BR0002,19222.24,Active
ACC000152,CUST01987,Current,2026-06-10,BR0017,28734.97,Active
ACC000153,CUST03124,Savings,2022-02-24,BR0041,96925.92,Active
ACC000154,CUST03431,Current,2024-11-12,BR0045,6384.66,Active
ACC000155,CUST00889,Current,2024-07-01,BR0041,45007.71,Active
ACC000156,CUST04983,Current,2020-05-07,BR0015,10852.23,Active
ACC000157,CUST00076,Salary,2022-05-28,BR0044,18795.95,Active
ACC000158,CUST01530,Savings,2021-07-24,BR0012,24022.23,Active
ACC000159,CUST01484,Current,2023-05-31,BR0028,3639.98,Inactive
ACC000160,CUST03919,Salary,2019-12-30,BR0043,8650.7,Active
ACC000161,CUST03287,Savings,2021-09-27,BR0049,111445.11,Active
ACC000162,CUST00552,Current,2024-04-23,BR0002,63794.96,Active
ACC000163,CUST01449,Current,2020-12-19,BR0046,20431.49,Blocked
ACC000164,CUST00757,Current,2025-04-29,BR0033,29488.28,Active
ACC000165,CUST02058,Salary,2021-12-23,BR0034,15473.88,Active
ACC000166,CUST00492,Savings,2019-11-15,BR0049,112184.49,Active
ACC000167,CUST04398,Savings,2023-11-09,BR0007,17319.3,Active
ACC000168,CUST04230,Current,2021-07-23,BR0031,29091.77,Active
ACC000169,CUST04578,Savings,2025-07-24,BR0013,87136.94,Active
ACC000170,CUST01417,Salary,2021-07-06,BR0039,8665.93,Active
ACC000171,CUST02936,Current,2021-09-26,BR0001,142992.44,Active
ACC000172,CUST02239,Current,2021-07-27,BR0009,3510.26,Blocked
ACC000173,CUST03347,Current,2023-05-25,BR0011,155681.97,Active
ACC000174,CUST03482,Savings,2025-02-27,BR0010,14083.92,Active
ACC000175,CUST01349,Savings,2026-07-21,BR0014,16461.2,Active
ACC000176,CUST01875,Salary,2021-06-26,BR0049,2280.13,Active
ACC000177,CUST02803,Savings,2020-11-19,BR0028,12762.24,Active
ACC000178,CUST04823,Salary,2019-10-03,BR0025,6324.79,Active
ACC000179,CUST04361,Savings,2022-03-05,BR0030,10623.51,Active
ACC000180,CUST01383,Current,2021-09-21,BR0017,18680.34,Inactive
ACC000181,CUST01433,Current,2019-10-29,BR0009,69518.62,Active
ACC000182,CUST04567,Salary,2024-11-09,BR0049,28257.78,Active
ACC000183,CUST02657,Current,2023-10-05,BR0024,31863.36,Active
ACC000184,CUST02199,Savings,2023-05-20,BR0003,5915.77,Active
ACC000185,CUST03517,Current,2023-03-05,BR0020,7654.85,Active
ACC000186,CUST02337,Salary,2024-05-19,BR0030,190702.52,Active
ACC000187,CUST01194,Savings,2024-05-03,BR0005,9115.75,Active
ACC000188,CUST01586,Savings,2024-06-24,BR0046,160724.97,Blocked
ACC000189,CUST02339,Salary,2021-04-14,BR0040,16454.04,Active
ACC000190,CUST04025,Salary,2023-02-27,BR0040,22087.02,Active
ACC000191,CUST00696,Current,2021-03-26,BR0029,79573.64,Active
ACC000192,CUST03262,Savings,2024-01-23,BR0016,101343.49,Active
ACC000193,CUST01363,Current,2024-08-03,BR0011,19283.88,Active
ACC000194,CUST04548,Salary,2023-01-18,BR0025,13823.27,Active
ACC000195,CUST00597,Current,2024-12-25,BR0023,20596.89,Active
ACC000196,CUST04448,Savings,2024-07-17,BR0005,33042.47,Active
ACC000197,CUST03171,Savings,2022-12-10,BR0003,64187.54,Active
ACC000198,CUST01593,Savings,2026-01-01,BR0025,22138.55,Active
ACC000199,CUST01881,Current,2021-11-15,BR0047,46289.18,Active
ACC000200,CUST01187,Current,2025-08-29,BR0040,157319.13,Active
ACC000201,CUST02712,Savings,2026-06-05,BR0020,34806.92,Active
ACC000202,CUST00851,Salary,2022-09-29,BR0005,32015.76,Active
ACC000203,CUST03247,Current,2026-06-26,BR0031,3559.26,Active
ACC000204,CUST04213,Savings,2026-06-20,BR0028,937.41,Active
ACC000205,CUST01412,Current,2021-11-21,BR0017,35103.32,Active
ACC000206,CUST02945,Current,2023-04-27,BR0017,19657.44,Active
ACC000207,CUST04356,Savings,2022-10-19,BR0035,11875.83,Active
ACC000208,CUST00541,Current,2022-10-01,BR0039,29502.68,Active
ACC000209,CUST03690,Salary,2021-08-24,BR0036,20486.38,Active
ACC000210,CUST02626,Savings,2022-05-16,BR0042,85249.4,Active
ACC000211,CUST01205,Salary,2024-03-30,BR0030,24424.28,Inactive
ACC000212,CUST04199,Salary,2022-09-08,BR0017,8988.42,Active
ACC000213,CUST03163,Salary,2020-04-21,BR0037,72272.54,Active
ACC000214,CUST04804,Salary,2025-07-18,BR0033,16974.08,Active
ACC000215,CUST04906,Savings,2020-10-16,BR0020,41433.46,Blocked
ACC000216,CUST02577,Current,2022-05-21,BR0038,12420.54,Active
ACC000217,CUST03927,Savings,2025-08-16,BR0018,10099.16,Active
ACC000218,CUST01127,Current,2021-10-01,BR0025,24367.41,Active
ACC000219,CUST00734,Salary,2026-06-01,BR0039,22368.17,Active
ACC000220,CUST03124,Salary,2024-03-24,BR0017,39174.94,Active
ACC000221,CUST01083,Savings,2024-07-28,BR0036,15956.56,Active
ACC000222,CUST04853,Current,2020-09-29,BR0011,2431.75,Active
ACC000223,CUST01952,Salary,2020-06-21,BR0007,13103.98,Active
ACC000224,CUST00924,Salary,2026-04-27,BR0043,57101.3,Active
ACC000225,CUST00247,Current,2023-12-19,BR0011,15415.81,Inactive
ACC000226,CUST04642,Savings,2025-09-03,BR0012,16388.58,Active
ACC000227,CUST04217,Savings,2023-09-12,BR0046,71944.61,Active
ACC000228,CUST01738,Savings,2024-03-15,BR0010,9373.41,Active
ACC000229,CUST00959,Savings,2022-04-25,BR0012,3458.66,Active
ACC000230,CUST00018,Savings,2020-07-16,BR0005,18164.83,Active
ACC000231,CUST03162,Current,2026-07-08,BR0028,12320.15,Active
ACC000232,CUST00372,Savings,2024-10-14,BR0033,6908.48,Active
ACC000233,CUST04890,Salary,2021-08-02,BR0036,17846.2,Active
ACC000234,CUST03940,Salary,2025-10-10,BR0025,39727.81,Active
ACC000235,CUST04488,Savings,2022-08-12,BR0019,21782.32,Active
ACC000236,CUST03144,Savings,2025-10-02,BR0019,31836.77,Active
ACC000237,CUST01928,Salary,2025-08-15,BR0019,194092.33,Active
ACC000238,CUST01999,Salary,2025-02-18,BR0006,14596.62,Active
ACC000239,CUST00389,Current,2024-05-12,BR0018,30761.47,Active
ACC000240,CUST04509,Salary,2026-08-19,BR0009,11955.47,Active
ACC000241,CUST02535,Current,2021-07-21,BR0038,7977.4,Active
ACC000242,CUST00801,Savings,2023-08-10,BR0001,10917.37,Active
ACC000243,CUST00139,Current,2021-12-09,BR0049,12400.47,Active
ACC000244,CUST01495,Savings,2024-07-14,BR0024,33906.8,Active
ACC000245,CUST02286,Current,2020-02-07,BR0048,369125.12,Active
ACC000246,CUST03585,Savings,2023-07-25,BR0022,9327.74,Active
ACC000247,CUST00378,Current,2024-11-29,BR0028,13360.39,Inactive
ACC000248,CUST03195,Current,2023-05-17,BR0018,20419.64,Active
ACC000249,CUST00107,Salary,2023-11-17,BR0026,35417.4,Active
ACC000250,CUST02451,Savings,2024-09-04,BR0046,30220.05,Active
ACC000251,CUST01842,Current,2023-05-12,BR0001,102838.49,Active
ACC000252,CUST04438,Current,2020-03-13,BR0007,1197.91,Active
ACC000253,CUST04846,Current,2021-02-08,BR0050,1256.0,Active
ACC000254,CUST00344,Salary,2019-11-02,BR0040,12148.32,Active
ACC000255,CUST04602,Savings,2024-05-30,BR0028,82187.64,Active
ACC000256,CUST01658,Current,2023-06-19,BR0036,3365.13,Active
ACC000257,CUST04377,Salary,2024-05-27,BR0037,596.36,Active
ACC000258,CUST03320,Savings,2025-03-07,BR0025,43713.63,Active
ACC000259,CUST00127,Salary,2020-02-20,BR0015,29507.17,Active
ACC000260,CUST04572,Salary,2022-08-09,BR0034,5953.59,Active
ACC000261,CUST04635,Savings,2023-09-14,BR0031,6750.37,Active
ACC000262,CUST03976,Salary,2025-08-28,BR0005,6879.54,Active
ACC000263,CUST03040,Salary,2020-11-27,BR0028,25150.73,Active
ACC000264,CUST03716,Savings,2020-03-11,BR0037,10388.16,Active
ACC000265,CUST03089,Savings,2025-06-13,BR0045,39849.96,Active
ACC000266,CUST01037,Savings,2022-08-31,BR0006,716.55,Active
ACC000267,CUST02937,Current,2020-03-16,BR0041,7877.59,Active
ACC000268,CUST04580,Savings,2025-10-06,BR0025,5702.93,Active
ACC000269,CUST00645,Salary,2021-12-30,BR0001,16193.92,Active
ACC000270,CUST04683,Current,2024-06-30,BR0009,11548.87,Inactive
ACC000271,CUST03777,Current,2021-10-16,BR0022,57377.79,Active
ACC000272,CUST00965,Current,2025-11-03,BR0032,2365.62,Active
ACC000273,CUST00740,Salary,2019-11-19,BR0048,23262.31,Active
ACC000274,CUST02432,Current,2025-09-20,BR0039,43045.1,Active
ACC000275,CUST00612,Savings,2024-09-25,BR0035,204429.19,Active
ACC000276,CUST04518,Savings,2023-10-28,BR0018,12355.8,Active
ACC000277,CUST04852,Current,2023-04-25,BR0009,32511.54,Active
ACC000278,CUST01451,Savings,2025-08-21,BR0010,2528.46,Active
ACC000279,CUST03912,Current,2026-02-24,BR0033,1248.44,Active
ACC000280,CUST03681,Savings,2020-10-13,BR0046,60701.84,Active
ACC000281,CUST02166,Salary,2023-01-08,BR0047,21879.99,Active
ACC000282,CUST01081,Savings,2021-06-24,BR0036,90600.52,Active
ACC000283,CUST02406,Current,2025-04-12,BR0032,4238.3,Active
ACC000284,CUST00372,Current,2023-06-30,BR0028,41104.9,Active
ACC000285,CUST01036,Savings,2022-04-14,BR0037,207436.68,Active
ACC000286,CUST03008,Current,2024-03-24,BR0001,36448.18,Active
ACC000287,CUST00148,Salary,2025-07-31,BR0004,30696.31,Active
ACC000288,CUST03272,Savings,2025-05-22,BR0046,22253.78,Active
ACC000289,CUST03359,Current,2022-03-29,BR0004,3344.06,Active
ACC000290,CUST01731,Savings,2022-06-17,BR0018,112048.55,Active
ACC000291,CUST03851,Savings,2021-08-17,BR0033,10582.65,Active
ACC000292,CUST04588,Salary,2024-06-30,BR0021,40351.34,Active
ACC000293,CUST02294,Savings,2026-06-10,BR0004,3375.7,Active
ACC000294,CUST04262,Salary,2023-12-21,BR0034,5348.91,Active
ACC000295,CUST02145,Salary,2023-02-10,BR0029,123266.61,Active
ACC000296,CUST01117,Current,2020-11-16,BR0005,14519.35,Active
ACC000297,CUST04443,Current,2026-03-02,BR0001,125986.57,Active
ACC000298,CUST00483,Current,2024-03-28,BR0036,20052.78,Active
ACC000299,CUST00484,Savings,2025-06-11,BR0008,2415.65,Active
ACC000300,CUST00009,Salary,2024-08-22,BR0012,64246.41,Active
ACC000301,CUST00895,Salary,2022-04-28,BR0006,10852.27,Active
ACC000302,CUST03502,Savings,2019-09-16,BR0048,50941.16,Active
ACC000303,CUST02972,Savings,2024-10-31,BR0029,22703.02,Active
ACC000304,CUST04666,Savings,2020-02-06,BR0013,3457.35,Active
ACC000305,CUST03788,Savings,2025-09-15,BR0028,26826.72,Active
ACC000306,CUST00121,Savings,2026-01-25,BR0031,307265.59,Active
ACC000307,CUST00710,Salary,2022-09-12,BR0037,39798.47,Active
ACC000308,CUST04603,Salary,2024-08-24,BR0021,20557.45,Active
ACC000309,CUST01860,Salary,2020-08-31,BR0010,80050.43,Active
ACC000310,CUST04276,Current,2026-03-28,BR0027,28361.91,Active
ACC000311,CUST04695,Savings,2020-04-02,BR0027,28323.33,Active
ACC000312,CUST04876,Current,2024-11-14,BR0018,5943.48,Inactive
ACC000313,CUST00947,Current,2020-03-10,BR0047,29161.88,Active
ACC000314,CUST04217,Savings,2024-02-26,BR0031,76307.93,Active
ACC000315,CUST02547,Salary,2023-03-03,BR0006,8076.59,Active
ACC000316,CUST00580,Savings,2025-11-11,BR0017,121709.82,Active
ACC000317,CUST01260,Current,2021-01-07,BR0050,19731.13,Active
ACC000318,CUST03304,Savings,2025-11-17,BR0044,7590.68,Active
ACC000319,CUST03837,Current,2021-04-21,BR0014,72922.94,Inactive
ACC000320,CUST02949,Current,2021-10-06,BR0017,15612.81,Active
ACC000321,CUST01983,Current,2024-10-06,BR0010,54798.49,Active
ACC000322,CUST00496,Current,2026-03-25,BR0018,15520.08,Inactive
ACC000323,CUST03567,Savings,2026-02-07,BR0048,20500.58,Active
ACC000324,CUST01588,Salary,2021-03-05,BR0036,39825.88,Active
ACC000325,CUST02060,Current,2021-03-11,BR0035,31228.19,Active
ACC000326,CUST04483,Current,2019-11-25,BR0012,2008.94,Active
ACC000327,CUST01867,Current,2025-03-04,BR0041,5735.94,Inactive
ACC000328,CUST02441,Current,2023-11-10,BR0009,67190.82,Active
ACC000329,CUST02711,Current,2025-11-05,BR0004,18796.69,Active
ACC000330,CUST03640,Current,2020-08-31,BR0046,11748.99,Active
ACC000331,CUST02950,Current,2022-06-21,BR0040,4314.39,Active
ACC000332,CUST00656,Current,2020-05-28,BR0026,6028.88,Active
ACC000333,CUST04625,Savings,2020-06-13,BR0047,1946.6,Active
ACC000334,CUST04867,Savings,2023-01-30,BR0035,19505.72,Active
ACC000335,CUST02659,Savings,2024-07-13,BR0003,10741.55,Active
ACC000336,CUST02536,Salary,2025-08-11,BR0002,6905.65,Active
ACC000337,CUST04916,Savings,2025-06-24,BR0015,20297.48,Active
ACC000338,CUST00683,Savings,2022-12-11,BR0030,34090.18,Active
ACC000339,CUST03178,Savings,2026-06-30,BR0039,271532.61,Blocked
ACC000340,CUST00157,Savings,2023-02-12,BR0022,3589.4,Active
ACC000341,CUST03647,Salary,2022-11-22,BR0025,88544.21,Active
ACC000342,CUST01452,Savings,2025-07-28,BR0041,70807.62,Active
ACC000343,CUST03039,Savings,2023-09-07,BR0021,8648.05,Active
ACC000344,CUST02196,Salary,2020-10-29,BR0006,28110.07,Active
ACC000345,CUST00006,Savings,2022-07-27,BR0043,12718.85,Active
ACC000346,CUST03586,Current,2021-03-16,BR0037,27524.35,Active
ACC000347,CUST00488,Savings,2020-06-18,BR0011,134720.46,Active
ACC000348,CUST00416,Savings,2022-04-18,BR0021,45557.36,Active
ACC000349,CUST01758,Salary,2022-09-02,BR0012,40551.58,Active
ACC000350,CUST02843,Salary,2021-02-27,BR0044,13142.79,Active
ACC000351,CUST02127,Current,2025-08-31,BR0041,3711.28,Active
ACC000352,CUST02784,Savings,2023-04-24,BR0029,17151.45,Active
ACC000353,CUST04034,Savings,2021-10-16,BR0049,93707.15,Active
ACC000354,CUST01567,Savings,2023-11-25,BR0030,3524.16,Active
ACC000355,CUST00406,Current,2020-06-02,BR0046,6209.85,Active
ACC000356,CUST03000,Salary,2021-03-21,BR0002,25630.06,Active
ACC000357,CUST00539,Savings,2021-11-12,BR0001,6757.54,Blocked
ACC000358,CUST02359,Salary,2023-01-24,BR0040,8509.78,Active
ACC000359,CUST02491,Salary,2021-05-10,BR0001,13249.06,Active
ACC000360,CUST04743,Savings,2021-07-30,BR0001,4278.08,Active
ACC000361,CUST01033,Savings,2022-08-21,BR0014,6843.49,Active
ACC000362,CUST04150,Salary,2025-02-25,BR0045,51231.69,Inactive
ACC000363,CUST02329,Savings,2025-01-12,BR0005,4587.8,Active
ACC000364,CUST00769,Savings,2020-05-05,BR0042,3237.49,Active
ACC000365,CUST01428,Salary,2022-07-16,BR0023,10342.02,Active
ACC000366,CUST01996,Current,2023-06-29,BR0044,53015.87,Active
ACC000367,CUST01201,Savings,2026-01-16,BR0024,17390.75,Active
ACC000368,CUST00273,Savings,2020-06-13,BR0027,12613.24,Inactive
ACC000369,CUST04665,Salary,2024-02-08,BR0001,23230.71,Active
ACC000370,CUST03259,Salary,2021-11-03,BR0028,2711.21,Inactive
ACC000371,CUST04486,Savings,2019-10-28,BR0005,39880.66,Active
ACC000372,CUST03599,Current,2024-10-21,BR0017,34895.81,Active
ACC000373,CUST01980,Current,2020-03-02,BR0033,13478.21,Active
ACC000374,CUST01027,Salary,2024-05-21,BR0014,73652.21,Active
ACC000375,CUST04672,Current,2020-02-25,BR0020,5693.07,Active
ACC000376,CUST03072,Savings,2025-06-16,BR0002,85262.57,Active
ACC000377,CUST04021,Current,2022-10-28,BR0025,26513.05,Active
ACC000378,CUST01288,Current,2020-06-17,BR0021,14707.85,Active
ACC000379,CUST01317,Salary,2021-01-30,BR0023,21507.38,Active
ACC000380,CUST00598,Current,2019-08-31,BR0014,19366.16,Blocked
ACC000381,CUST02565,Current,2024-02-24,BR0009,95257.54,Active
ACC000382,CUST01505,Current,2019-10-04,BR0007,6051.04,Active
ACC000383,CUST02088,Savings,2019-09-09,BR0038,8821.76,Active
ACC000384,CUST01531,Salary,2022-06-06,BR0037,76386.67,Active
ACC000385,CUST01225,Savings,2022-12-03,BR0015,10779.03,Active
ACC000386,CUST00781,Savings,2022-04-03,BR0001,64902.39,Active
ACC000387,CUST00262,Salary,2019-11-19,BR0003,169282.33,Active
ACC000388,CUST03456,Salary,2026-06-15,BR0003,13600.28,Active
ACC000389,CUST00047,Salary,2024-06-24,BR0049,49892.94,Inactive
